CNT,Description,Northing,Easting
1,Sheet 1 of 2 Coordinate -12-29-97,159723.4100,388227.7100
2,Sheet 1 of 2 Coordinate -12-29-97,159707.5300,388275.1200
3,Sheet 1 of 2 Coordinate -12-29-97,160055.0600,388362.1800
4,Sheet 1 of 2 Coordinate -12-29-97,160033.4400,388407.2600
5,Sheet 1 of 2 Coordinate -12-29-97,160583.8900,388615.7800
6,Sheet 1 of 2 Grid UL 12-29-97,159800.0000,388000.0000
7,Sheet 1 of 2 Grid UR 12-29-97,160600.0000,388400.0000
8,Sheet 1 of 2 Grid LL 12-29-97,159600.0000,388400.0000
9,Sheet 1 of 2 Grid LR 12-29-97,160600.0000,388800.0000
10,Sheet 2 of 2 Coordinate -12-29-97 8x8 Monument,158636.5800,387732.1900
11,Sheet 2 of 2 Coordinate -12-29-97,158601.1300,387832.2100
12,Sheet 2 of 2 Coordinate -12-29-97,158617.9200,387784.8300
13,Sheet 2 of 2 Coordinate -12-29-97,158979.3600,387956.6900
14,Sheet 2 of 2 Coordinate -12-29-97,158957.8800,388001.8500
15,Sheet 2 of 2 Coordinate -12-29-97,159296.8200,388084.8100
16,Sheet 2 of 2 Coordinate -12-29-97,159280.9400,388132.2200
17,Sheet 2 of 2 Grid UL 12-29-97,158800.0000,387600.0000
18,Sheet 2 of 2 Grid UR 12-29-97,159600.0000,388000.0000
19,Sheet 2 of 2 Grid LL 12-29-97,158600.0000,388000.0000
20,Sheet 2 of 2 Grid LR 12-29-97,159600.0000,388400.0000
,,,
